"","V1"
"AUS",1102.44389645642
"AUT",714.049313277851
"BEL",2952.01917570195
"BGR",19.5561577320855
"BRA",373.702993131951
"CAN",17050.6346697627
"CHN",5423.62124993724
"CYP",22.9647315273683
"CZE",269.45031328471
"DEU",4991.00357349315
"DNK",524.056384351133
"ESP",5962.16187766271
"EST",30.272275966262
"FIN",1115.23568894127
"FRA",7572.10917449028
"GBR",32620.6428227416
"GRC",402.923644399678
"HUN",277.35243313613
"IDN",302.960732848314
"IND",400.677467977836
"IRL",2429.76539475297
"ITA",7750.29261958692
"JPN",12894.968728089
"KOR",1464.73082437283
"LTU",62.1342344426903
"LUX",48.0450712580023
"LVA",35.6935488649593
"MEX",192.557586602907
"MLT",9.71794609094572
"NLD",2778.61081003239
"POL",886.45113165574
"PRT",1389.07765869303
"ROM",69.2409334825157
"RUS",789.838701469369
"SVK",76.0060645057671
"SVN",136.042038565338
"SWE",1171.20875427236
"TUR",900.178399496496
"TWN",866.55928249391
"USA",24237.9047544232
"ZRoW",6737.59985575442
