"","2004"
"AUS",1021.78208932916
"AUT",676.128637157507
"BEL",2963.69099393996
"BGR",6.37732055749409
"BRA",335.367456386044
"CAN",17566.4651971338
"CHN",6572.31592256727
"CYP",14.0245671402816
"CZE",278.053022748073
"DEU",4143.53522638114
"DNK",553.135508924071
"ESP",6386.77555163928
"EST",26.2178676860668
"FIN",1156.20937669672
"FRA",8124.56512085724
"GBR",33157.9561313009
"GRC",309.272166089353
"HUN",278.258527504876
"IDN",260.823038319139
"IND",455.984479229624
"IRL",2615.90765843866
"ITA",7487.60626343473
"JPN",13499.638239159
"KOR",1537.62069916042
"LTU",59.4011602057436
"LUX",29.7410205760788
"LVA",32.5934635401991
"MEX",49.9046277681297
"MLT",6.32918407128614
"NLD",3421.29019107154
"POL",906.191531031406
"PRT",1319.55793199362
"ROM",43.6343364976109
"RUS",662.92614607652
"SVK",66.8468759160367
"SVN",150.534622002269
"SWE",1372.08022734142
"TUR",893.389856593293
"TWN",969.14933406163
"USA",21441.7710899913
"ZRoW",6201.41025520759
